nameWithOwner,url,createdAt,updatedAt,repo_age_days,last_update_days_ago,primaryLanguage,issues_total,closed_issues_total,closed_issues_ratio,merged_pull_requests,releases_total,stargazers,forks
formulahendry/955.WLB,https://github.com/formulahendry/955.WLB,2019-03-27T23:53:37Z,2026-02-27T10:25:35Z,2528,0,,263,81,0.30798479087452474,18,0,36125,1751
lerna/lerna,https://github.com/lerna/lerna,2015-12-04T09:36:55Z,2026-02-27T14:08:01Z,3738,0,TypeScript,2691,2311,0.8587885544407283,1017,248,36090,2276
myshell-ai/OpenVoice,https://github.com/myshell-ai/OpenVoice,2023-11-29T12:17:01Z,2026-02-27T22:05:20Z,821,0,Python,348,73,0.20977011494252873,18,0,36019,4025
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,2020-05-29T05:47:09Z,2026-02-27T16:40:15Z,2100,0,Java,44,33,0.75,26,0,36014,6463
XingangPan/DragGAN,https://github.com/XingangPan/DragGAN,2023-05-18T10:08:02Z,2026-02-27T20:08:31Z,1016,0,Python,192,46,0.23958333333333334,18,0,35975,3440
carbon-app/carbon,https://github.com/carbon-app/carbon,2017-06-16T02:50:28Z,2026-02-27T11:52:33Z,3178,0,JavaScript,689,627,0.9100145137880987,669,215,35915,1975
juanfont/headscale,https://github.com/juanfont/headscale,2020-06-21T09:21:05Z,2026-02-27T22:01:40Z,2077,0,Go,1231,1153,0.9366368805848904,1228,132,35906,1929
opentofu/manifesto,https://github.com/opentofu/manifesto,2023-08-13T16:17:24Z,2026-02-27T20:52:55Z,929,0,HTML,26,14,0.5384615384615384,765,0,35898,1049
aseprite/aseprite,https://github.com/aseprite/aseprite,2014-08-19T23:44:50Z,2026-02-27T21:23:52Z,4209,0,C++,4478,2639,0.5893255917820456,479,123,35855,7810
666ghj/BettaFish,https://github.com/666ghj/BettaFish,2024-07-01T13:11:38Z,2026-02-27T15:51:39Z,606,0,Python,385,371,0.9636363636363636,103,6,35815,6844
reworkd/AgentGPT,https://github.com/reworkd/AgentGPT,2023-04-07T02:29:19Z,2026-02-27T22:27:22Z,1057,0,TypeScript,469,337,0.7185501066098081,541,12,35744,9445
koajs/koa,https://github.com/koajs/koa,2013-07-20T18:53:45Z,2026-02-27T08:10:27Z,4605,0,JavaScript,932,914,0.98068669527897,541,16,35738,3213
